Date,MSCIDeveloped,MSCIEmerging,Commodity,Gold,DowToGold,ShillerPE,Cpi
1989-4-21,503.406,5.289907939953896,189.1498510796724,389.3,6.106858463909582,15.69,123.1
1989-4-22,503.406,5.289907939953896,183.62412509307524,388.2,6.206852138073159,15.69,123.1
1989-4-23,503.406,5.289907939953896,183.62412509307524,388.2,6.206852138073159,15.69,123.1
1989-4-24,503.406,5.289907939953896,183.62412509307524,388.2,6.206852138073159,15.69,123.1
1989-4-25,503.406,5.289907939953896,180.22367833209233,391.0,6.145012787723784,15.69,123.1
1989-4-26,503.406,5.289907939953896,179.79862248696946,388.8,6.13914609053498,15.69,123.1
1989-4-27,503.406,5.289907939953896,178.94851079672378,388.2,6.1543019062339,15.69,123.1
1989-4-28,503.406,5.289907939953896,175.54806403574088,386.1,6.265216265216265,15.69,123.1
1989-4-29,514.189,6.247905140475061,171.2975055845123,380.5,6.3568988173455985,15.69,123.1
1989-4-30,514.189,6.247905140475061,171.2975055845123,380.5,6.3568988173455985,15.69,123.1
1989-5-1,514.189,6.247905140475061,171.2975055845123,380.5,6.3568988173455985,15.69,123.1
1989-5-2,514.189,6.247905140475061,171.2975055845123,380.7,6.343577620173365,16.19,123.7
1989-5-3,514.189,6.247905140475061,162.7963886820551,380.1,6.32175743225467,16.19,123.7
1989-5-4,514.189,6.247905140475061,160.50108711839167,380.4,6.292586750788644,16.19,123.7
1989-5-5,514.189,6.247905140475061,167.47200297840655,379.6,6.282665964172813,16.19,123.7
1989-5-6,514.189,6.247905140475061,164.9216679076694,379.3,6.279989454257843,16.19,123.7
1989-5-7,514.189,6.247905140475061,164.9216679076694,379.3,6.279989454257843,16.19,123.7
1989-5-8,514.189,6.247905140475061,164.9216679076694,379.3,6.279989454257843,16.19,123.7
1989-5-9,514.189,6.247905140475061,159.8209977661951,378.4,6.2803911205074,16.19,123.7
1989-5-10,514.189,6.247905140475061,161.77625465376025,380.3,6.235340520641599,16.19,123.7
1989-5-11,514.189,6.247905140475061,160.50108711839167,379.0,6.2651715039577835,16.19,123.7
1989-5-12,514.189,6.247905140475061,164.0715562174237,382.1,6.236325569222717,16.19,123.7
1989-5-13,514.189,6.247905140475061,163.22144452717797,378.9,6.438902084982845,16.19,123.7
1989-5-14,514.189,6.247905140475061,163.22144452717797,378.9,6.438902084982845,16.19,123.7
1989-5-15,514.189,6.247905140475061,163.22144452717797,378.9,6.438902084982845,16.19,123.7
1989-5-16,514.189,6.247905140475061,163.22144452717797,376.5,6.544223107569722,16.19,123.7
1989-5-17,514.189,6.247905140475061,168.3221146686523,376.2,6.521796916533759,16.19,123.7
1989-5-18,514.189,6.247905140475061,157.9507520476545,373.9,6.585718106445574,16.19,123.7
1989-5-19,514.189,6.247905140475061,158.12077438570367,370.3,6.6705374021064,16.19,123.7
1989-5-20,514.189,6.247905140475061,155.5704393149665,366.6,6.8224222585924705,16.19,123.7
1989-5-21,514.189,6.247905140475061,155.5704393149665,366.6,6.8224222585924705,16.19,123.7
1989-5-22,514.189,6.247905140475061,155.5704393149665,366.6,6.8224222585924705,16.19,123.7
1989-5-23,514.189,6.247905140475061,147.91943410275502,363.7,6.879296123178444,16.19,123.7
1989-5-24,514.189,6.247905140475061,150.46976917349218,364.3,6.802086192698325,16.19,123.7
1989-5-25,514.189,6.247905140475061,154.29527177959793,364.7,6.81080340005484,16.19,123.7
1989-5-26,514.189,6.247905140475061,154.72032762472077,367.2,6.760893246187364,16.19,123.7
1989-5-27,514.189,6.247905140475061,150.0447133283693,365.9,6.815523367040176,16.19,123.7
1989-5-28,514.189,6.247905140475061,150.0447133283693,365.9,6.815523367040176,16.19,123.7
1989-5-29,514.189,6.247905140475061,150.0447133283693,365.9,6.815523367040176,16.19,123.7
1989-5-30,514.189,6.247905140475061,150.72480268056592,365.9,6.815523367040176,16.19,123.7
1989-5-31,514.189,6.247905140475061,153.27513775130308,369.7,6.696240194752502,16.19,123.7
1989-6-1,500.763,6.3100986578469485,155.14538346984364,366.5,6.767257844474761,16.19,123.7
1989-6-2,500.763,6.3100986578469485,153.70019359642592,367.3,6.780833106452491,16.64,124.1
1989-6-3,500.763,6.3100986578469485,154.29527177959793,371.9,6.770099489109977,16.64,124.1
1989-6-4,500.763,6.3100986578469485,154.29527177959793,371.9,6.770099489109977,16.64,124.1
1989-6-5,500.763,6.3100986578469485,154.29527177959793,371.9,6.770099489109977,16.64,124.1
1989-6-6,500.763,6.3100986578469485,157.6957185405808,370.8,6.690129449838187,16.64,124.1
1989-6-7,500.763,6.3100986578469485,157.27066269545793,383.2,6.514352818371608,16.64,124.1
1989-6-8,500.763,6.3100986578469485,154.29527177959793,380.8,6.5974264705882355,16.64,124.1
1989-6-9,500.763,6.3100986578469485,151.31988086373792,378.1,6.656704575509124,16.64,124.1
1989-6-10,500.763,6.3100986578469485,152.59504839910647,362.0,6.943093922651934,16.64,124.1
1989-6-11,500.763,6.3100986578469485,152.59504839910647,362.0,6.943093922651934,16.64,124.1
1989-6-12,500.763,6.3100986578469485,152.59504839910647,362.0,6.943093922651934,16.64,124.1
1989-6-13,500.763,6.3100986578469485,146.04918838421446,365.8,6.885729907053035,16.64,124.1
1989-6-14,500.763,6.3100986578469485,142.81876396128072,366.8,6.825245365321701,16.64,124.1
1989-6-15,500.763,6.3100986578469485,143.66887565152643,367.5,6.8119727891156465,16.64,124.1
1989-6-16,500.763,6.3100986578469485,144.0939314966493,370.7,6.6765578635014835,16.64,124.1
1989-6-17,500.763,6.3100986578469485,141.54359642591214,368.8,6.741865509761388,16.64,124.1
1989-6-18,500.763,6.3100986578469485,141.54359642591214,368.8,6.741865509761388,16.64,124.1
1989-6-19,500.763,6.3100986578469485,141.54359642591214,368.8,6.741865509761388,16.64,124.1
1989-6-20,500.763,6.3100986578469485,143.2438198064036,370.6,6.691581219643821,16.64,124.1
1989-6-21,500.763,6.3100986578469485,143.4988533134773,369.6,6.690746753246753,16.64,124.1
1989-6-22,500.763,6.3100986578469485,145.6241325390916,375.7,6.560819803034336,16.64,124.1
1989-6-23,500.763,6.3100986578469485,147.06932241250934,374.2,6.632816675574559,16.64,124.1
1989-6-24,500.763,6.3100986578469485,153.27513775130308,381.8,6.6314824515453115,16.64,124.1
1989-6-25,500.763,6.3100986578469485,153.27513775130308,381.8,6.6314824515453115,16.64,124.1
1989-6-26,500.763,6.3100986578469485,153.27513775130308,381.8,6.6314824515453115,16.64,124.1
1989-6-27,500.763,6.3100986578469485,154.9753611317945,378.3,6.638646576790907,16.64,124.1
1989-6-28,500.763,6.3100986578469485,154.72032762472077,379.8,6.6519220642443395,16.64,124.1
1989-6-29,500.763,6.3100986578469485,153.02010424422934,379.2,6.605221518987341,16.64,124.1
1989-6-30,500.763,6.3100986578469485,154.72032762472077,373.9,6.5747526076491045,16.64,124.1
1989-7-1,494.288,5.5372238190123335,155.40041697691737,377.3,6.4672674264511,16.64,124.1
1989-7-2,494.288,5.5372238190123335,155.40041697691737,377.3,6.4672674264511,17.01,124.5
1989-7-3,494.288,5.5372238190123335,155.40041697691737,377.3,6.4672674264511,17.01,124.5
1989-7-4,494.288,5.5372238190123335,156.42055100521222,381.1,6.436106008921543,17.01,124.5
1989-7-5,494.288,5.5372238190123335,158.12077438570367,381.1,6.436106008921543,17.01,124.5
1989-7-6,494.288,5.5372238190123335,159.39594192107225,388.4,6.324922760041194,17.01,124.5
1989-7-7,494.288,5.5372238190123335,155.5704393149665,388.6,6.33659289758106,17.01,124.5
1989-7-8,494.288,5.5372238190123335,151.7449367088608,385.7,6.450350012963444,17.01,124.5
1989-7-9,494.288,5.5372238190123335,151.7449367088608,385.7,6.450350012963444,17.01,124.5
1989-7-10,494.288,5.5372238190123335,151.7449367088608,385.7,6.450350012963444,17.01,124.5
1989-7-11,494.288,5.5372238190123335,151.5749143708116,386.6,6.473616140713915,17.01,124.5
1989-7-12,494.288,5.5372238190123335,149.87469099032018,383.3,6.56039655622228,17.01,124.5
1989-7-13,494.288,5.5372238190123335,150.0447133283693,380.4,6.657728706624606,17.01,124.5
1989-7-14,494.288,5.5372238190123335,149.6196574832465,378.5,6.706208718626156,17.01,124.5
1989-7-15,494.288,5.5372238190123335,152.1699925539836,372.2,6.864051585169265,17.01,124.5
1989-7-16,494.288,5.5372238190123335,152.1699925539836,372.2,6.864051585169265,17.01,124.5
1989-7-17,494.288,5.5372238190123335,152.1699925539836,372.2,6.864051585169265,17.01,124.5
