DateTime,Dow/Gold
1899-07-31,3.5670053217223
1899-08-31,3.66037735849057
1899-09-30,3.52539912917271
1899-10-31,3.62699564586357
1899-11-30,3.65505563618771
1899-12-31,3.19690372520561
1900-01-31,3.19932268988873
1900-02-28,3.09433962264151
1900-03-31,3.19400096758587
1900-04-30,2.96710208030963
1900-05-31,2.85921625544267
1900-06-30,2.65747460087083
1900-07-31,2.74794388001935
1900-08-31,2.79680696661829
1900-09-30,2.6255442670537
1900-10-31,2.85631349782293
1900-11-30,3.22157716497339
1900-12-31,3.42089985486212
1901-01-31,3.2322206095791
1901-02-28,3.24141267537494
1901-03-31,3.38268021286889
1901-04-30,3.66715045960329
1901-05-31,3.66569908079342
1901-06-30,3.77068214804064
1901-07-31,3.46540880503145
1901-08-31,3.5544267053701
1901-09-30,3.22496371552975
1901-10-31,3.11804547653604
1901-11-30,3.14513788098694
1901-12-31,3.1233671988389
1902-01-31,3.1422351233672
1902-02-28,3.13546202225448
1902-03-31,3.25060474117078
1902-04-30,3.24189646831156
1902-05-31,3.2133526850508
1902-06-30,3.11127237542332
1902-07-31,3.18432510885341
1902-08-31,3.20657958393807
1902-09-30,3.20029027576197
1902-10-31,3.19545234639574
1902-11-30,3.00193517174649
1902-12-31,3.11030478955007
1903-01-31,3.15336236090953
1903-02-28,3.20222544750847
1903-03-31,3.07885824866957
1903-04-30,3.08563134978229
